1093.10000	804.80000	0
1094.33633	804.92360	1
1094.40530	805.01552	2
1094.40501	805.13758	3
1094.89348	805.02392	4
1095.27077	804.77880	5
1095.13172	804.75814	6
1095.74297	804.86081	7
1095.79800	804.92547	8
1094.49947	804.97115	9
1094.17961	804.93636	10
1093.77818	805.41482	11
1093.34941	805.52607	12
1093.59126	805.33757	13
1093.71951	805.04951	14
1092.85690	805.07816	15
1092.71470	805.34865	16
1093.75944	805.17151	17
1092.77977	805.42016	18
1093.23371	805.66616	19
1093.74905	805.85442	20
1093.46064	805.98989	21
1093.25880	805.82863	22
1093.35223	805.88786	23
1093.35380	805.95527	24
1094.10426	806.16928	25
1092.97031	806.31982	26
1092.56711	806.58986	27
1092.11407	807.00188	28
1091.88514	807.09298	29
1092.00165	807.17118	30
1092.86945	807.15532	31
1093.72456	807.20438	32
1093.14415	807.48966	33
1092.44753	807.03289	34
1092.25902	806.74324	35
1092.98527	806.86160	36
1092.40679	806.56833	37
1093.82809	806.58384	38
1093.84640	806.50069	39
1093.07027	806.15711	40
1092.58038	806.11093	41
1092.87233	805.95033	42
1092.51273	806.11433	43
1092.66313	806.06553	44
1093.28363	806.04864	45
1093.75698	806.45921	46
1092.80894	806.53235	47
1092.65953	806.57984	48
1092.14799	806.80107	49
1092.44706	806.32521	50
1093.00668	806.54958	51
1093.10971	806.52019	52
1093.21482	806.62660	53
1092.23914	806.54706	54
1091.86251	806.23753	55
1092.22248	806.27141	56
1091.83553	806.42894	57
1091.65559	806.70075	58
1091.59730	806.65128	59
1092.31905	806.91691	60
1092.85108	807.28863	61
1093.94759	807.14976	62
1094.53154	807.33414	63
1094.47956	807.21986	64
1094.57388	807.23000	65
1094.03128	806.85206	66
1094.96030	806.93056	67
1093.81570	806.47773	68
1092.64085	806.53363	69
1092.68839	806.86572	70
1092.68505	807.01021	71
1092.59702	807.15934	72
1092.91911	806.89409	73
1091.33823	806.86733	74
1090.62827	807.06988	75
1091.39724	807.22970	76
1091.77798	807.21584	77
1091.01998	806.83037	78
1091.80378	806.68918	79
1091.27495	806.40996	80
1091.86152	806.68760	81
